arrival_info,stop_number,stop_name,stop_id,latitude,longitude
尚未發車,1,及人中學,2315900100,24.967108,121.518062
尚未發車,2,十四份,2315900000,24.969329,121.518795
尚未發車,3,光華街口,2315900300,24.970794,121.51914
尚未發車,4,輕軌陽光運動公園站,2315900700,24.972839,121.519852
尚未發車,5,石頭厝,2315900200,24.974308,121.51912
尚未發車,6,安和路二段,2315900600,24.976061,121.517372
尚未發車,7,陽光運動公園(新店花市),2315901000,24.977253,121.5167886
尚未發車,8,永平里,2315900500,24.981146,121.517416
尚未發車,9,輕軌新和國小站(水工大樓),2315900800,24.983806,121.517953
進站中,10,新和國小,2315901100,24.985335,121.517283
進站中,11,三介廟,2357700000,24.988375,121.513308
進站中,12,景新街,2358200700,24.989999,121.512485
5分鐘,13,南勢角(景平路),2358300460,24.99291,121.51133
5分鐘,14,中和教會,2357700160,24.993096,121.509353
8分鐘,15,捷運景安站,2357100300,24.994329,121.505277
9分鐘,16,景新街口,2357100400,24.996308,121.505842
10分鐘,17,安和路口,2357500300,24.998049,121.507121
12分鐘,18,雙和里,2357500760,24.99973,121.5068521
13分鐘,19,南山高中,2357500660,24.999775,121.505547
14分鐘,20,中和派出所,2357500060,24.999855,121.5028195
15分鐘,21,中和廟口,2357500260,25.000814,121.5009077
16分鐘,22,中和農會(中和路),2357500100,25.001862,121.499868
19分鐘,23,一江新村,2355800060,25.002636,121.498247
21分鐘,24,華中橋,2355600500,25.003062,121.496762
26分鐘,25,果菜市場,1087200000,25.01987,121.497706
進站中,26,萬大國小,1086900200,25.02329,121.4998941
進站中,27,德昌街口,1087800000,25.025045,121.500485
3分鐘,28,西藏路口,1087900100,25.028737,121.500599
5分鐘,29,萬大路,1086100600,25.030805,121.500635
6分鐘,30,莒光派出所,1086100220,25.03113,121.50255
8分鐘,31,大埔街,1006800000,25.032684,121.504945
9分鐘,32,聯合醫院和平院區,1006500101,25.0357,121.506607
13分鐘,33,捷運西門站,1084600300,25.04173,121.5082859
14分鐘,34,中華路北站,1004200200,25.045696,121.5093807
18分鐘,35,臺北車站(忠孝),1004700420,25.046255,121.5170035
21分鐘,36,行政院,1004100500,25.046578,121.5202398
23分鐘,37,長安東路一段,1044100120,25.049575,121.5224936
24分鐘,38,長安林森路口,1044200220,25.04871,121.5259734
25分鐘,39,正守公園,1044200020,25.04814,121.5287092
27分鐘,40,長安國小(長安),1045600220,25.048432,121.5308318
進站中,41,長安東路二段,1045500020,25.04839,121.5334062
3分鐘,42,中山女高,1049100121,25.048279,121.5381002
5分鐘,43,長安龍江路口,1049000120,25.04821,121.54084
6分鐘,44,長安復興路口,1049000020,25.04821,121.54309
8分鐘,45,臺安醫院,1055600220,25.048142,121.5462971
10分鐘,46,臺視,1055900020,25.04807,121.5511
14分鐘,47,美仁里,1055400120,25.048,121.55415
14分鐘,48,光復路口,1055400020,25.048103,121.5571789
16分鐘,49,臺北市區監理所,1055500020,25.048363,121.5598251
18分鐘,50,八德東寧路口,1056500021,25.048759,121.5637648
22分鐘,51,東興路,1107000040,25.046595,121.566472
24分鐘,52,松山高中(基隆路),1107000340,25.044449,121.5662804
進站中,53,聯合報,1107100260,25.041326,121.5630899
進站中,54,捷運國父紀念館站(忠孝),1107200260,25.041487,121.558253
