arrival_info,stop_number,stop_name,stop_id,latitude,longitude
16分鐘,1,富洲里,1117401420,25.109126,121.468652
16分鐘,2,台北海大,1117400440,25.108188,121.4708548
17分鐘,3,浮線,1117401140,25.106587,121.4725103
17分鐘,4,富洲里九段,1117401540,25.10614,121.47427
18分鐘,5,威靈廟,1117400840,25.105857,121.4762383
18分鐘,6,下溪沙尾,1117400120,25.10581,121.47886
19分鐘,7,建安新村,1117400920,25.105952,121.4812673
19分鐘,8,富安國小,1117401320,25.105912,121.4831859
20分鐘,9,富洲里八段,1117401640,25.10563,121.48448
21分鐘,10,福安國中,1117401940,25.103238,121.4872193
21分鐘,11,臨江園,1117402040,25.1017,121.48915
22分鐘,12,地藏禪寺,1117400540,25.09956,121.49168
22分鐘,13,下竹圍,1117200040,25.09816,121.49333
23分鐘,14,福安區民活動中心,1117201040,25.09707,121.49461
23分鐘,15,福安里,1117200940,25.09612,121.49561
24分鐘,16,普濟堂,1117200840,25.094151,121.4974417
29分鐘,17,社子國小二,1117200540,25.090017,121.5020824
29分鐘,18,社子國小,1117200440,25.089646,121.5028759
進站中,19,永倫里(南),1117200720,25.089298,121.504244
進站中,20,社子派出所,1117200320,25.089332,121.5056145
進站中,21,社子市場二,1117200240,25.088796,121.5081045
3分鐘,22,社子市場,1117200140,25.088046,121.5087166
5分鐘,23,葫蘆寺(葫蘆里),1117100340,25.085288,121.5095885
6分鐘,24,葫蘆堵市場,1116501040,25.083075,121.5100276
7分鐘,25,海光新村,1117100240,25.081321,121.5103891
8分鐘,26,社子消防分隊,1116500340,25.079521,121.5109944
9分鐘,27,污水處理廠,1037200040,25.07605,121.5118
10分鐘,28,老師里,1037300020,25.072056,121.5115542
12分鐘,29,酒泉重慶路口,1037300120,25.071985,121.5143475
13分鐘,30,大龍峒保安宮,1036700020,25.071954,121.5154577
14分鐘,31,庫倫街,1037400220,25.07188,121.5180213
16分鐘,32,庫倫街口,1036600040,25.071066,121.5183341
18分鐘,33,蘭州國中,1036400460,25.06869,121.51625
20分鐘,34,昌吉重慶路口,1036300240,25.06615,121.5136438
21分鐘,35,捷運大橋頭站,1035900040,25.063324,121.5135163
22分鐘,36,涼州重慶路口,1035800340,25.06098,121.5135093
24分鐘,37,民生重慶路口,1035800140,25.05715,121.5136927
25分鐘,38,朝陽公園(鈕釦街),1034500042,25.055504,121.514022
進站中,39,圓環(南京),1035000220,25.053651,121.5157054
3分鐘,40,臺北車站(承德),1034900240,25.050735,121.5167729
