arrival_info,stop_number,stop_name,stop_id,latitude,longitude
尚未發車,1,華中河濱公園,1087100100,25.017171,121.4960943
尚未發車,2,果菜市場,1087200000,25.01987,121.497706
尚未發車,3,萬大國小,1086900200,25.02329,121.4998941
尚未發車,4,德昌街口,1087800000,25.025045,121.500485
尚未發車,5,西藏路口,1087900100,25.028737,121.500599
尚未發車,6,西藏路,1087900020,25.029599,121.5020893
進站中,7,南機場公寓,1088000040,25.028384,121.5054653
進站中,8,中華南海路口,1088100040,25.027343,121.5064379
4分鐘,9,國盛國宅,1006700200,25.027618,121.5077926
5分鐘,10,三元街口,1006600020,25.029839,121.5091439
7分鐘,11,植物園,1007000220,25.030056,121.509834
8分鐘,12,建國中學,1006600420,25.029178,121.513095
10分鐘,13,自來水西分處(寧波),1007500020,25.029828,121.5157
12分鐘,14,南昌路,1007500101,25.031219,121.517248
15分鐘,15,南門,1007400100,25.033381,121.51568
16分鐘,16,一女中(公園),1004800000,25.036828,121.5151365
21分鐘,17,中正紀念堂,1004800920,25.037153,121.520771
21分鐘,18,信義杭州路口,1004800820,25.0357,121.5238361
23分鐘,19,捷運東門站,1064100120,25.034134,121.5269937
25分鐘,20,信義永康街口(捷運東門站),1065000320,25.033693,121.529727
26分鐘,21,信義新生路口,1006100020,25.03353,121.5323283
進站中,22,信義市場,1065800000,25.034128,121.5381185
3分鐘,23,延平中學,1065600200,25.036302,121.538369
5分鐘,24,空軍總部,1065200000,25.040593,121.537887
7分鐘,25,正義郵局,1065500020,25.041606,121.5384398
9分鐘,26,懷生國中,1065500220,25.04156,121.54088
進站中,27,頂好市場,1069100320,25.041444,121.5476095
3分鐘,28,捷運忠孝敦化站,1069000220,25.041391,121.5503749
5分鐘,29,阿波羅大廈,1069200020,25.041262,121.553619
6分鐘,30,交通部觀光署,1069400221,25.041283,121.555796
8分鐘,31,捷運國父紀念館站(光復),1069400100,25.042733,121.557919
10分鐘,32,臺北市區監理所(光復),1055500000,25.04698,121.5579397
12分鐘,33,榮民服務處,1056000100,25.048703,121.557946
15分鐘,34,南京三民路口,1056400120,25.051445,121.5604478
進站中,35,南京公寓(捷運南京三民),1056900021,25.051255,121.5665356
3分鐘,36,南松山(南京),1057100020,25.05115,121.56915
5分鐘,37,饒河街觀光夜市(塔悠),1058500220,25.050545,121.571331
進站中,38,松山農會,1056600020,25.049902,121.5738483
進站中,39,松山車站(八德),1056700020,25.049975,121.5772464
4分鐘,40,玉成里,1157700020,25.050867,121.5809831
8分鐘,41,週美里一,1147000100,25.05636,121.581944
進站中,42,舊宗路一段(行善),1146901160,25.058701,121.579639
進站中,43,行善路,1146900560,25.057173,121.5764993
3分鐘,44,新湖民善街口(一),1149401520,25.058648,121.5760209
5分鐘,45,新湖一路口,1149401300,25.060542,121.5791317
6分鐘,46,新湖三路口(台北花市),1149401400,25.063161,121.577205
8分鐘,47,新湖行忠路口,1149401620,25.0641,121.57795
10分鐘,48,行愛路,1149400740,25.06387,121.58004
10分鐘,49,行愛路77巷口,1149400840,25.062332,121.5812173
